@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-diameter REAL
@ATTRIBUTE gill-attachment {e, a, d, x, s, ?, p, f}
@ATTRIBUTE gill-spacing {c, d, ?, f}
@ATTRIBUTE stem-height REAL
@ATTRIBUTE stem-width REAL
@ATTRIBUTE stem-root {?, s, b, r, f, c}
@ATTRIBUTE stem-surface {y, ?, i, s, g, h, t, k, f}
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}

@DATA
p,7.25,e,c,12.75,13.62,?,y,w
p,21.37,d,d,8.53,31.3,?,?,w
e,6.17,f,f,7.99,67.06,?,?,n
p,9.75,d,c,6.21,14.34,?,?,n
p,3.32,f,f,0.0,0.0,f,f,f
e,3.45,f,f,6.98,8.4,?,?,o
e,5.93,e,c,4.25,12.15,?,?,w
p,4.68,d,c,3.23,6.58,?,?,y
e,3.78,p,?,4.72,10.13,?,?,y
e,46.89,p,?,7.17,38.72,?,k,k
p,6.77,e,c,12.52,11.63,?,y,w
e,9.5,a,c,5.4,18.18,?,?,w
p,0.84,d,?,5.62,1.16,?,?,o
e,8.21,s,c,6.9,11.73,b,i,n
e,7.15,a,c,4.93,15.91,?,?,w
p,2.93,s,?,3.93,3.24,?,?,n
e,10.0,?,?,8.84,26.96,b,?,n
p,2.97,d,c,3.65,5.77,?,?,n
e,7.91,p,?,6.93,14.25,?,?,y
e,3.92,d,d,4.68,6.85,?,?,w
e,11.01,x,c,8.78,24.69,?,?,w
p,0.96,?,c,2.5,2.23,?,?,n
p,4.75,a,c,5.09,6.6,?,y,n
p,1.55,a,?,4.19,1.45,?,t,n
e,9.52,e,c,6.11,9.87,?,i,w
p,10.17,s,?,7.49,17.54,?,i,n
e,5.65,d,c,5.55,8.13,?,s,w
e,15.98,p,?,17.13,74.5,?,?,n
e,10.43,s,c,7.81,29.23,?,?,w
e,10.26,d,c,6.36,17.7,?,?,w
p,4.6,s,c,6.99,8.08,?,y,w
e,6.44,s,d,4.55,8.93,?,s,g
p,2.09,a,c,6.13,2.58,?,t,y
p,3.0,a,?,5.14,6.14,?,t,y
p,5.52,a,?,8.15,10.69,?,?,n
e,7.64,e,c,4.5,13.24,?,?,w
p,8.59,e,c,12.61,12.96,?,y,w
e,15.64,?,?,24.52,19.45,s,?,n
e,4.8,a,d,7.85,7.08,?,s,o
p,6.26,d,c,4.8,9.75,b,?,n
p,8.25,?,c,1.47,13.8,?,?,n
p,1.55,a,?,5.28,2.08,?,s,g
e,4.24,p,?,4.09,10.29,?,?,n
p,8.53,?,c,1.53,15.06,?,?,y
p,6.01,d,c,6.03,8.21,?,?,n
p,1.78,?,?,3.79,1.5,?,?,n
e,4.88,s,?,5.36,8.26,?,?,w
p,8.23,a,c,8.83,9.4,?,i,n
p,3.15,d,d,3.94,2.55,?,h,w
e,2.63,?,d,7.04,5.2,?,?,w
e,10.69,x,?,6.37,24.44,?,?,p
p,7.99,d,?,4.42,12.05,?,t,n
p,4.9,s,d,4.3,8.78,?,i,y
e,3.15,?,c,5.48,2.47,?,?,w
p,2.61,a,?,8.36,2.43,?,?,g
e,10.73,d,c,6.59,17.54,?,?,w
p,2.06,a,?,4.16,2.89,?,?,w
p,3.96,?,c,6.38,4.65,s,s,w
p,5.87,a,?,8.87,10.57,?,?,y
e,5.68,a,c,5.84,14.95,?,?,g
p,3.09,d,d,3.45,2.78,?,h,w
e,4.64,a,d,6.0,3.52,?,s,g
p,9.64,a,?,12.47,16.64,s,?,n
e,7.74,e,c,20.74,12.64,?,s,w
e,7.8,s,c,6.58,10.8,b,i,w
e,3.46,d,c,4.11,5.7,?,?,g
e,7.76,e,c,5.11,12.52,?,?,w
p,2.59,?,c,6.91,3.33,?,?,n
e,1.69,a,?,5.03,1.49,?,?,g
e,5.69,x,c,6.53,9.24,?,s,n
e,1.34,a,?,4.94,1.24,?,?,g
e,9.51,e,c,7.07,9.53,?,i,n
e,8.15,s,c,6.17,19.82,b,?,u
p,4.52,s,c,6.53,8.13,?,y,n
e,4.88,e,?,10.53,11.35,?,s,w
e,7.32,p,?,7.42,16.55,?,?,y
p,2.87,d,?,3.17,5.38,?,?,o
e,12.98,e,?,6.28,16.33,s,?,w
e,4.69,x,c,7.91,9.23,b,?,n
p,6.14,x,c,7.11,12.62,?,?,w
p,0.63,?,?,3.56,0.75,?,?,w
e,9.17,?,?,10.48,15.62,b,?,w
p,10.76,e,?,10.84,14.69,?,?,w
p,4.04,a,c,6.13,6.42,?,s,u
p,2.68,d,d,2.73,2.46,?,h,w
p,0.86,d,?,4.51,1.06,?,?,o
p,5.17,a,c,6.53,7.49,?,g,o
e,9.5,?,c,5.03,19.94,?,?,w
p,0.82,?,c,3.53,2.37,?,?,n
e,3.1,d,d,3.87,6.63,?,?,w
p,6.08,a,?,7.72,9.62,?,?,e
p,7.5,e,c,12.0,13.5,?,y,w
e,7.02,e,c,5.94,13.32,?,?,w
p,4.34,?,c,3.63,12.22,?,?,y
p,7.8,?,?,14.93,17.49,?,?,w
e,11.61,d,c,6.67,24.5,?,?,w
p,4.98,a,c,6.16,7.43,?,g,o
p,2.91,d,c,3.5,6.35,?,?,n
p,8.56,p,?,10.94,33.08,c,?,n
e,1.23,d,?,4.61,1.58,?,t,y
e,55.94,p,?,7.03,38.82,?,k,n
p,4.59,a,c,5.42,6.35,?,y,n
e,0.99,a,?,4.85,0.97,?,?,n
p,3.14,f,f,0.0,0.0,f,f,f
e,7.31,s,c,5.79,9.92,b,i,w
e,1.77,a,d,4.29,2.86,?,i,n
e,3.51,d,d,4.04,6.03,?,?,w
p,1.37,a,?,4.82,1.48,?,t,n
e,4.95,a,c,5.12,8.78,?,?,w
e,10.77,e,?,9.21,17.94,?,y,w
p,16.48,d,d,7.31,34.37,?,?,w
p,2.39,a,?,5.03,2.69,?,?,w
p,4.95,e,?,7.05,7.77,?,?,k
e,4.95,a,d,6.23,3.83,?,s,n
p,12.83,e,?,11.25,14.62,?,?,w
p,6.99,d,c,6.8,8.31,?,?,e
p,4.98,d,c,3.51,6.06,?,?,o
p,4.46,s,?,4.1,3.19,?,?,n
p,6.76,d,c,5.94,8.84,?,?,e
p,2.82,?,?,3.94,4.7,?,?,e
e,6.41,p,?,3.8,11.73,?,?,y
p,7.45,?,?,8.31,13.87,s,?,w
p,2.55,a,?,5.38,2.19,?,s,g
p,1.8,d,?,2.67,4.35,?,?,y
e,7.75,d,d,7.27,13.09,?,?,w
p,3.47,?,c,7.01,6.51,?,?,y
p,4.39,?,c,3.23,12.09,?,?,y
e,5.12,s,d,4.58,8.6,?,s,g
p,2.02,a,?,4.32,2.4,?,?,w
e,6.77,a,d,6.86,6.22,?,t,w
p,2.48,d,c,3.03,5.07,?,?,n
p,6.51,x,d,5.7,17.73,b,?,w
p,5.82,?,c,6.9,9.24,?,?,w
p,4.5,f,f,0.0,0.0,f,f,f
p,2.67,e,c,4.24,3.38,?,k,w
p,3.5,x,c,8.22,4.01,?,?,p
p,3.63,a,c,4.26,5.54,?,y,o
e,3.18,?,c,6.35,2.81,?,?,w
e,7.49,a,?,7.49,14.58,?,?,g
e,6.36,x,c,6.85,12.25,?,?,w
p,3.62,?,?,4.62,4.89,?,?,e
e,8.34,a,c,4.92,15.96,?,?,w
p,9.01,e,c,13.37,13.73,?,y,w
p,4.41,x,c,8.74,4.23,?,?,p
p,5.47,?,c,3.35,12.68,?,?,y
p,9.6,p,?,7.78,25.42,c,?,y
p,5.69,d,c,5.59,6.49,?,i,n
p,4.84,x,c,5.94,12.29,?,?,w
e,14.79,p,?,20.88,83.88,?,?,n
e,4.5,x,c,6.2,3.89,?,?,w
p,7.07,a,c,7.91,7.74,?,i,n
p,2.87,a,c,3.92,3.48,?,i,u
e,15.0,d,c,2.46,16.08,?,?,w
p,1.52,?,?,4.11,1.39,?,?,n
p,3.54,x,c,5.64,3.87,?,i,g
p,16.16,e,?,16.73,16.79,s,y,w
e,8.52,s,c,7.06,19.48,b,?,u
p,4.92,x,c,4.23,12.25,?,?,y
p,8.4,?,c,10.91,15.98,?,?,w
e,8.26,x,c,7.55,16.57,?,?,w
e,8.29,p,?,6.58,16.74,?,?,n
e,6.35,p,?,7.48,14.65,?,?,y
p,8.78,x,?,8.72,18.94,s,?,g
e,1.06,a,?,5.37,1.1,?,?,n
p,11.57,d,c,5.12,28.42,?,k,n
e,14.15,e,?,9.27,16.44,?,?,w
p,0.87,d,?,6.13,1.16,?,?,o
p,2.3,f,f,0.0,0.0,f,f,f
p,0.63,a,?,3.7,0.98,?,s,k
p,3.28,s,?,3.44,2.63,?,?,n
e,7.62,d,c,2.36,13.06,?,?,w
e,8.63,?,?,6.86,25.32,b,?,n
p,8.37,x,?,9.12,20.1,s,?,g
e,5.77,e,c,4.54,12.11,?,?,w
e,1.54,a,?,4.74,1.34,?,?,g
p,1.79,?,c,5.91,2.79,?,?,n
e,6.63,d,c,5.12,8.51,?,s,w
p,18.69,d,c,6.06,28.21,?,?,r
p,3.42,f,f,0.0,0.0,f,f,f
p,4.87,d,c,5.08,4.55,?,?,e
p,4.2,s,c,5.57,6.02,?,y,w
e,7.84,a,c,4.43,13.89,?,?,w
p,13.44,d,c,4.9,27.29,?,k,k
p,3.57,?,c,5.39,4.29,s,s,w
e,7.03,a,?,6.22,11.21,?,?,w
e,8.86,s,c,6.79,18.62,b,?,u
p,6.21,d,c,7.7,9.65,?,?,e
p,9.28,d,?,6.18,13.98,?,?,w
e,2.31,d,d,7.45,3.32,?,i,n
e,3.67,d,c,4.53,5.87,?,?,n
p,7.36,e,?,8.28,16.35,?,y,w
e,4.67,d,?,3.21,7.64,?,?,w
p,4.66,x,?,5.12,6.94,?,?,w
e,15.16,d,c,9.1,25.89,s,?,w
e,62.34,p,?,8.65,64.11,?,k,k
p,3.28,?,c,7.7,7.1,?,?,y
e,9.99,e,c,19.76,13.03,?,s,w
e,1.19,a,?,4.19,1.16,?,?,g
p,9.09,a,?,11.6,21.11,r,?,o
e,18.05,a,d,8.05,23.9,?,?,w
p,8.91,s,c,6.86,17.09,?,y,y
e,9.7,s,c,8.47,22.79,b,?,u
e,10.42,p,?,8.71,22.89,?,?,n
p,9.67,a,?,13.37,23.89,r,?,o
e,6.21,s,d,4.3,10.24,?,s,g
p,4.62,a,?,6.13,3.79,?,y,n
p,3.84,e,c,4.87,3.39,?,k,w
p,6.46,d,c,6.26,8.85,?,?,n
p,0.92,?,c,3.06,2.43,?,?,n
p,3.71,s,?,3.8,2.75,?,?,n
e,4.3,d,c,5.16,7.33,?,?,g
p,10.7,a,d,11.04,33.49,?,?,w
e,21.66,p,?,17.62,71.97,?,?,n
p,7.86,a,c,8.67,8.84,?,i,n
e,8.8,a,?,8.48,16.3,?,?,g
p,2.11,a,?,3.62,2.36,?,?,w
e,6.39,a,c,4.09,13.92,?,?,w
p,2.98,a,?,4.18,5.42,?,?,y
e,7.87,p,?,6.26,12.34,?,?,y
e,3.01,f,f,6.08,6.72,?,?,o
p,4.14,a,c,5.61,6.25,?,g,o
p,1.78,a,?,4.07,1.61,?,s,g
p,2.74,a,?,8.84,2.56,?,?,n
p,3.33,e,c,4.22,3.7,?,k,w
e,8.92,x,c,7.2,17.58,?,s,w
p,12.11,p,?,10.86,31.66,?,?,u
e,9.25,a,c,4.27,15.25,?,?,w
e,19.31,?,?,27.82,20.51,s,?,n
p,2.76,x,?,4.36,6.23,?,?,w
e,14.03,d,c,7.05,26.39,?,?,w
p,6.62,e,c,11.68,12.78,?,y,w
p,2.07,d,?,3.3,6.01,?,?,o
e,8.37,?,?,4.63,24.43,?,?,n
p,7.16,?,?,6.88,11.09,s,?,w
p,9.76,f,f,3.73,25.28,?,g,n
e,4.76,p,?,6.81,14.56,?,?,y
e,7.02,x,c,6.72,13.05,?,?,w
e,5.14,e,?,5.91,12.71,b,?,w
p,2.51,?,c,6.73,3.34,?,?,n
p,7.79,x,?,14.56,7.33,r,g,n
p,7.16,d,c,8.57,10.86,?,?,n
p,3.04,f,f,5.83,29.91,?,g,w
e,10.12,p,?,6.93,18.49,?,?,n
e,5.06,e,c,4.07,9.63,?,y,n
p,1.1,a,d,3.13,1.59,?,?,e
e,2.33,?,c,4.27,5.67,?,s,w
p,4.46,a,c,4.31,5.25,?,y,o
e,2.49,d,d,3.49,6.19,?,?,w
p,18.58,p,?,5.58,41.79,?,?,n
e,8.85,e,c,19.26,12.56,?,s,w
p,2.67,a,?,5.08,5.1,?,t,y
e,5.3,p,?,5.9,14.18,?,?,y
p,2.16,x,c,7.88,3.61,?,?,p
p,3.47,a,?,4.26,6.67,?,?,y
p,3.57,d,c,2.92,5.58,?,?,o
p,7.11,d,?,4.57,12.79,?,t,n
e,5.97,s,c,5.35,9.24,b,i,n
e,7.63,p,?,5.17,12.83,?,?,e
p,7.58,?,c,1.54,15.8,?,?,n
p,3.49,?,c,0.0,0.0,f,f,f
p,3.11,a,?,9.36,2.79,?,?,n
p,1.93,a,c,3.52,3.51,?,i,w
e,5.41,d,c,4.0,6.88,?,s,w
p,2.25,a,c,7.03,2.69,?,t,y
p,2.87,a,?,10.35,2.66,?,?,g
e,10.11,d,d,8.66,12.63,?,i,n
e,16.08,?,?,23.91,20.28,s,?,n
e,8.23,p,?,12.07,25.1,?,y,w
p,3.26,a,?,4.75,4.83,?,t,r
e,16.7,a,c,9.42,26.46,s,?,w
p,11.89,a,d,10.19,33.89,?,?,w
p,4.27,x,c,8.55,4.29,?,?,n
p,8.5,p,?,10.0,25.08,c,?,n
p,5.13,d,c,4.07,6.81,?,?,o
p,7.16,d,c,5.76,7.37,?,?,n
p,2.92,a,c,4.89,5.82,?,s,u
p,2.39,?,c,5.99,3.43,?,?,n
