@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-shape {b, x, s, f, o, c, p}
@ATTRIBUTE cap-surface {t, g, d, y, ?, s, h, l, w, i, k, e}
@ATTRIBUTE cap-color {w, n, o, e, y, p, r, k, g, u, l, b}
@ATTRIBUTE gill-color {w, y, p, g, r, e, f, n, o, u, k, b}
@ATTRIBUTE stem-surface {y, ?, i, s, g, h, t, k, f}
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}
@ATTRIBUTE veil-type {u, ?}
@ATTRIBUTE veil-color {w, ?, y, u, n, k, e}
@ATTRIBUTE has-ring {t, f}
@ATTRIBUTE ring-type {l, f, p, g, e, ?, r, m, z}
@ATTRIBUTE spore-print-color {?, w, n, p, k, g, r, u}

@DATA
p,x,t,o,y,g,o,?,?,f,f,?
p,x,s,n,y,?,n,?,?,f,f,?
e,x,w,y,f,?,y,?,?,f,f,?
p,x,i,l,p,?,w,?,?,f,f,p
p,x,y,y,y,?,y,?,?,t,r,n
e,c,g,n,w,?,g,?,?,f,f,?
p,x,?,n,y,?,n,?,?,f,f,?
e,f,g,e,p,?,n,?,?,f,f,?
p,b,t,n,k,?,n,?,?,t,f,?
e,x,d,e,r,?,e,?,?,f,f,?
p,x,i,e,e,?,e,?,?,f,f,n
p,o,t,y,o,?,n,?,?,f,f,?
e,x,?,w,w,?,w,?,w,t,?,?
e,b,y,n,n,?,w,?,?,f,f,?
p,x,s,n,n,y,n,?,?,f,f,?
e,x,i,n,p,y,w,?,?,t,l,?
e,b,g,n,g,s,g,?,?,f,f,?
e,f,e,b,b,?,w,?,?,t,f,?
p,x,y,w,n,?,w,?,?,t,l,?
e,f,y,g,w,?,w,?,?,f,f,?
p,x,i,n,n,i,n,?,k,t,z,k
e,x,y,e,w,?,n,?,w,t,e,?
p,b,t,l,g,y,l,?,?,t,e,k
e,f,s,w,w,?,w,?,?,f,f,?
e,x,?,n,n,?,n,?,w,t,?,?
p,x,g,o,y,?,w,?,?,f,f,?
p,x,s,r,w,i,w,?,?,f,f,?
e,f,g,g,g,s,n,?,?,f,f,?
p,x,i,k,w,?,w,?,?,f,f,p
e,x,h,n,y,?,n,?,w,t,p,?
p,f,h,o,w,y,w,u,w,t,p,?
p,c,h,n,n,?,y,?,?,f,f,?
e,x,w,n,y,?,n,?,?,f,f,?
p,o,l,g,f,f,f,?,?,f,f,?
e,f,s,w,w,?,w,?,?,f,f,?
p,x,t,n,p,?,w,?,n,t,z,?
e,x,h,g,n,t,g,?,?,t,l,?
p,x,i,n,n,?,n,?,n,f,f,?
p,s,w,o,y,?,n,?,?,f,f,?
p,s,s,w,w,?,w,?,?,f,f,?
e,b,g,g,g,?,w,?,?,f,f,?
e,x,d,o,e,?,e,?,?,f,f,?
p,c,e,y,r,?,w,?,?,f,f,?
p,f,h,r,w,?,w,u,w,t,g,?
p,x,t,r,n,?,n,?,?,f,f,?
p,s,t,p,p,?,p,?,?,t,f,?
p,f,t,n,n,?,y,?,?,f,f,?
e,x,y,n,w,?,w,?,?,t,?,?
p,x,t,n,w,?,w,?,?,f,f,?
p,o,k,n,n,?,n,?,?,f,f,?
e,x,h,p,o,?,e,?,?,f,f,?
e,x,?,b,w,?,w,?,?,f,f,?
e,x,t,y,w,t,y,?,?,f,f,?
p,f,t,n,p,i,g,?,?,f,f,?
p,x,y,y,y,y,y,?,?,t,?,?
e,s,?,y,f,?,y,?,?,f,f,?
p,f,t,n,b,?,r,?,?,f,f,?
p,f,?,g,w,?,w,u,w,t,g,?
p,s,d,e,w,?,e,?,?,f,f,?
e,f,g,n,y,i,o,?,?,f,f,?
e,x,h,n,n,s,w,?,w,f,f,k
e,c,g,n,g,?,g,?,?,f,f,?
p,b,h,n,n,t,n,?,?,f,f,?
p,x,g,w,w,?,n,?,?,f,f,?
p,f,?,u,w,?,w,?,?,f,f,?
e,x,h,n,n,t,g,?,?,t,l,?
e,x,?,r,r,?,l,?,?,f,f,?
e,x,s,n,n,?,n,?,w,t,p,?
p,x,e,y,y,?,y,?,?,t,r,n
p,f,l,e,n,?,y,?,?,f,f,?
p,s,t,p,p,?,p,?,?,t,f,?
p,x,t,y,y,?,y,?,?,f,f,?
p,f,d,n,y,i,n,?,?,f,f,?
p,x,d,w,p,h,w,?,?,f,f,?
e,s,?,l,b,?,b,?,?,f,f,?
e,x,?,n,w,?,w,u,w,t,g,?
p,f,w,n,y,?,n,?,?,f,f,?
p,f,d,b,w,s,n,?,?,f,f,?
e,f,y,n,w,?,n,?,w,t,e,?
p,x,?,g,y,?,n,?,?,f,f,?
e,s,d,g,p,?,g,?,?,f,f,?
p,x,s,y,p,i,n,?,?,f,f,?
p,f,t,y,y,?,y,?,?,f,f,?
p,x,i,e,e,?,e,?,?,f,f,n
p,f,?,n,p,?,p,?,?,f,f,?
p,x,k,w,w,?,w,?,?,f,f,?
p,s,?,o,o,?,w,?,?,t,f,?
e,o,?,n,f,?,n,?,?,f,f,?
p,s,t,n,n,?,n,?,?,f,f,?
e,x,t,o,n,?,n,?,?,f,f,?
p,x,y,y,y,y,n,?,?,t,?,?
p,p,?,n,w,?,n,?,?,f,f,p
p,x,s,g,r,i,n,?,?,f,f,?
p,s,d,y,y,?,o,?,?,f,f,?
e,x,?,w,g,?,w,?,?,f,f,?
e,s,?,n,w,s,w,?,?,f,f,?
p,x,h,w,p,i,n,?,?,f,f,?
p,b,?,k,n,?,g,?,w,f,f,k
e,o,y,y,y,k,k,?,?,f,f,?
e,f,s,w,w,?,w,?,?,f,f,?
e,s,?,g,g,?,u,?,?,f,f,?
e,x,y,n,w,y,n,?,?,f,f,?
e,x,h,g,n,t,w,?,?,t,l,?
e,f,?,b,y,?,w,?,?,f,f,?
e,f,g,n,g,s,g,?,?,f,f,?
e,c,h,n,w,s,w,u,w,f,f,?
e,o,l,n,f,?,n,?,?,f,f,g
p,p,g,n,w,y,w,u,w,t,p,?
p,s,s,w,w,?,w,?,?,f,f,?
e,b,g,w,w,?,y,?,?,f,f,?
e,p,d,o,w,y,w,?,?,f,f,?
p,c,e,w,r,?,w,?,?,f,f,?
p,f,h,e,w,g,n,?,?,f,f,?
p,b,s,g,g,s,w,?,?,t,z,?
p,f,?,w,w,i,w,?,?,f,f,?
e,x,e,g,w,?,w,?,?,f,f,?
p,f,k,w,p,?,n,?,?,f,f,p
e,p,s,w,g,?,w,?,?,t,r,?
e,s,t,k,k,?,w,?,?,f,f,w
e,x,e,y,w,?,w,?,?,f,f,?
p,f,d,n,n,i,n,?,?,t,?,?
e,x,s,n,p,i,w,?,?,f,f,p
p,x,s,n,n,y,n,?,?,f,f,?
p,s,d,e,w,?,n,?,?,f,f,?
p,x,?,n,w,?,n,?,?,f,f,p
p,f,t,n,n,?,n,?,?,f,f,?
e,x,?,w,n,?,w,?,?,f,f,?
p,b,t,y,g,?,n,?,?,t,f,?
e,o,y,y,y,k,n,?,?,f,f,?
e,f,i,n,n,?,w,?,?,t,r,?
p,x,t,n,w,?,w,?,?,f,f,?
p,b,s,y,k,?,y,u,w,t,z,k
p,s,d,y,o,?,o,?,?,f,f,?
p,f,y,u,y,y,y,?,?,f,f,?
p,b,h,n,n,t,n,?,?,f,f,?
p,x,h,n,y,?,y,?,?,f,f,?
p,o,?,n,f,g,n,?,?,f,f,?
e,x,s,y,n,?,n,?,?,f,f,?
p,x,i,y,k,i,n,?,k,t,z,k
p,s,w,u,u,s,u,?,?,f,f,?
e,f,?,n,u,?,b,?,?,f,f,?
p,x,h,y,y,i,n,?,?,f,f,?
p,p,t,n,n,t,y,?,?,t,e,?
p,o,?,e,f,g,n,?,?,f,f,?
e,x,h,n,w,y,n,?,?,t,r,?
e,x,?,n,n,?,w,?,?,f,f,?
p,x,k,n,o,?,y,?,?,f,f,?
p,b,t,n,k,?,w,?,?,t,?,k
e,x,h,y,y,?,y,?,y,t,?,?
p,f,s,w,w,?,w,?,?,f,f,?
p,x,y,y,w,y,n,?,?,t,r,?
e,f,s,w,g,?,w,?,?,t,r,?
p,x,k,w,p,?,n,?,?,f,f,p
p,f,?,u,n,i,w,?,?,f,f,?
p,x,?,o,o,?,y,?,?,f,f,w
p,f,l,y,y,?,y,?,?,f,f,?
p,f,k,n,y,k,k,?,?,f,f,?
p,x,e,n,n,?,n,?,n,f,f,?
p,b,g,y,n,?,n,?,?,f,f,?
p,s,?,r,o,?,w,?,?,t,f,?
p,b,g,n,n,?,n,?,?,f,f,?
p,x,e,y,e,?,e,?,?,f,f,?
e,s,d,n,p,?,g,?,?,f,f,?
e,x,d,e,r,?,y,?,?,f,f,?
p,f,?,w,p,?,p,?,?,f,f,?
p,x,y,y,n,y,n,?,?,t,?,?
p,c,e,y,p,?,w,?,?,f,f,?
p,x,k,n,p,?,n,?,?,f,f,p
e,x,?,n,w,s,w,?,?,f,f,?
e,x,?,b,w,?,w,?,?,f,f,?
e,s,y,n,p,i,n,?,?,f,f,?
p,o,t,w,w,f,f,?,?,f,f,n
e,f,t,n,o,t,o,?,?,f,f,?
e,s,?,n,b,?,b,?,?,f,f,?
p,c,i,y,n,?,w,?,?,f,f,?
p,x,y,w,n,?,w,?,?,t,l,?
e,f,s,n,n,?,w,?,?,t,r,?
p,f,?,o,o,?,y,?,?,f,f,w
e,p,y,w,p,s,w,?,?,t,e,?
p,x,e,o,y,?,y,?,?,t,r,n
p,p,g,n,w,y,w,u,w,t,p,?
e,f,e,b,b,?,w,?,?,t,f,?
e,b,g,w,w,?,y,?,?,f,f,?
p,f,d,e,y,?,n,?,?,f,f,?
p,f,l,y,y,?,y,?,?,f,f,?
p,o,e,n,y,?,n,?,?,f,f,?
e,x,?,w,w,?,n,?,w,t,?,?
e,s,?,y,f,?,o,?,?,f,f,?
e,f,w,g,k,?,w,?,?,f,f,?
p,s,?,e,p,?,e,?,?,f,f,?
p,x,t,n,p,?,w,?,n,t,z,?
p,x,i,y,n,i,n,?,k,t,z,k
e,s,?,y,f,?,y,?,?,f,f,?
e,x,h,y,y,?,w,?,?,f,f,?
p,b,w,u,g,s,u,?,?,f,f,?
e,s,t,p,o,?,w,?,?,f,f,?
p,f,?,n,y,?,n,?,?,f,f,?
e,f,h,n,k,s,w,?,w,f,f,k
p,x,y,r,g,y,n,?,?,t,e,k
p,x,?,y,y,i,y,?,?,f,f,?
e,s,?,g,g,?,u,?,?,f,f,?
e,o,l,n,f,?,n,?,?,f,f,g
e,x,y,n,w,?,w,?,?,t,?,?
p,b,t,w,w,y,w,u,w,t,l,?
p,s,k,w,n,?,w,?,?,f,f,?
e,o,l,n,f,?,n,?,?,f,f,g
p,x,t,r,n,?,n,?,?,f,f,?
p,o,l,g,f,f,f,?,?,f,f,?
e,s,?,n,f,?,o,?,?,f,f,?
e,x,y,n,p,?,w,?,?,t,l,?
p,s,d,o,y,?,y,?,?,f,f,?
e,x,d,n,n,?,y,?,?,f,f,?
e,o,y,y,y,k,k,?,?,f,f,?
p,b,t,w,w,y,w,u,w,t,e,?
e,x,s,k,w,?,w,?,?,f,f,?
p,x,?,o,o,?,o,?,?,f,f,w
e,f,s,n,w,i,n,?,?,f,f,?
e,f,s,k,w,?,w,?,?,f,f,?
p,x,k,w,p,?,n,?,?,f,f,p
e,x,y,n,w,?,n,?,w,t,e,?
p,f,w,n,y,?,n,?,?,f,f,?
e,x,t,y,y,?,y,?,y,t,?,?
e,f,s,w,w,?,w,?,?,f,f,?
e,x,e,y,w,?,w,?,?,f,f,?
p,b,t,n,g,?,n,?,?,t,f,?
p,x,h,o,n,y,n,?,?,t,z,?
p,b,h,n,n,t,n,?,?,f,f,?
e,x,s,n,w,i,w,?,?,f,f,p
p,x,s,w,p,i,n,?,?,f,f,?
e,s,?,n,w,s,w,?,?,f,f,?
e,x,w,n,y,?,n,?,?,f,f,?
e,x,d,w,w,?,w,?,?,f,f,?
e,s,t,o,o,?,w,?,?,f,f,?
p,x,t,r,g,y,w,?,?,t,e,k
e,b,h,g,g,s,g,?,?,f,f,?
p,p,t,n,g,t,y,?,?,t,e,?
p,f,t,y,y,t,y,?,?,f,f,?
p,x,e,e,n,?,n,?,w,t,z,?
e,f,y,n,n,?,w,?,?,t,r,?
p,b,t,w,w,y,w,u,w,t,l,?
e,p,y,n,w,?,n,?,?,t,m,?
e,f,t,o,y,s,o,?,?,f,f,?
p,f,?,g,y,?,n,?,?,f,f,?
p,o,k,n,y,?,n,?,?,f,f,?
p,b,?,n,g,s,g,?,?,f,f,?
e,x,k,n,e,?,n,?,?,f,f,?
p,o,k,y,y,?,y,?,?,f,f,?
p,f,d,n,y,?,n,?,?,f,f,?
p,x,k,n,n,?,n,?,?,f,f,?
e,x,y,g,g,?,w,?,?,f,f,?
p,x,i,y,n,i,n,?,k,t,z,k
p,s,d,w,w,h,w,?,?,f,f,?
e,x,?,b,w,?,w,?,?,f,f,?
e,f,s,r,n,?,p,?,?,f,f,?
p,s,t,n,w,t,n,?,?,f,f,?
p,f,?,y,y,i,y,?,?,f,f,?
e,b,y,n,k,?,w,?,?,f,f,?
p,b,?,k,n,?,g,?,w,f,f,k
e,s,t,o,o,?,w,?,?,f,f,?
p,f,i,k,p,?,w,?,?,f,f,p
p,b,y,n,u,s,w,?,?,f,f,?
p,x,e,e,g,?,y,?,w,t,z,?
e,s,?,y,w,?,g,?,?,f,f,?
p,s,d,w,p,h,w,?,?,f,f,?
e,f,g,n,g,s,g,?,?,f,f,?
p,x,e,n,n,?,n,?,e,f,f,?
e,f,s,w,k,s,w,?,?,t,e,?
e,f,s,n,w,i,w,?,?,f,f,?
e,s,d,n,p,?,g,?,?,f,f,?
e,x,y,w,k,?,w,?,w,t,e,?
p,b,g,n,n,?,n,?,?,f,f,?
e,c,g,n,g,?,g,?,?,f,f,?
e,x,s,n,w,s,n,?,?,f,f,?
e,c,g,n,w,?,g,?,?,f,f,?
e,x,s,n,w,i,n,?,?,f,f,p
e,s,?,n,g,?,u,?,?,f,f,?
p,b,t,l,u,y,n,?,?,t,e,k
e,c,h,n,w,s,w,u,w,f,f,?
e,x,d,n,y,?,y,?,?,f,f,?
p,f,y,o,o,?,o,?,?,f,f,?
e,x,s,n,n,?,w,?,?,t,l,?
e,x,?,w,n,?,n,?,w,t,?,?
p,c,e,y,p,?,w,?,?,f,f,?
p,x,g,y,y,?,w,?,?,f,f,?
e,x,?,n,w,?,w,u,w,t,g,?
p,x,?,n,w,?,w,u,w,t,e,?
p,b,w,u,u,s,u,?,?,f,f,?
p,s,d,w,w,h,w,?,?,f,f,?
p,x,?,o,o,?,o,?,?,f,f,w
p,x,h,y,y,g,o,?,?,f,f,?
e,f,e,b,b,?,w,?,?,t,f,?
p,b,t,n,g,?,n,?,?,t,f,?
e,f,s,w,w,?,w,?,?,f,f,?
p,x,e,e,y,?,e,?,w,t,z,?
p,b,t,w,w,y,w,u,w,t,e,?
e,f,y,w,p,?,w,?,w,t,e,?
p,x,?,p,g,?,y,?,?,f,f,?
p,b,y,n,p,?,w,?,?,f,f,?
e,s,?,w,y,?,w,?,?,f,f,?
p,x,t,y,y,g,o,?,?,f,f,?
p,s,w,o,y,?,n,?,?,f,f,?
p,x,?,n,p,?,n,?,?,f,f,p
e,x,t,n,w,t,y,?,?,f,f,?
e,o,y,y,y,k,n,?,?,f,f,?
p,x,h,o,n,y,n,?,?,t,z,?
e,x,g,n,w,?,n,?,?,f,f,?
p,o,l,g,f,f,f,?,?,f,f,?
e,f,s,n,w,i,w,?,?,f,f,?
e,s,y,n,p,i,n,?,?,f,f,?
e,f,s,w,w,?,w,?,?,f,f,?
p,b,h,n,n,t,n,?,?,f,f,?
e,x,?,y,y,?,w,?,?,f,f,?
e,p,y,n,p,y,w,?,?,t,p,?
p,x,k,w,w,?,w,?,?,f,f,?
p,f,i,l,w,?,w,?,?,f,f,p
p,b,s,k,y,?,k,?,?,f,f,?
e,b,g,g,g,s,n,?,?,f,f,?
p,x,?,n,w,?,w,u,w,t,g,?
p,x,d,n,n,?,e,?,?,f,f,?
p,s,d,y,o,?,o,?,?,f,f,?
p,f,k,n,p,?,n,?,?,f,f,p
p,s,d,e,y,?,e,?,?,f,f,?
p,x,i,e,e,?,e,?,?,f,f,n
e,x,d,n,y,?,y,?,?,f,f,?
p,x,y,w,w,?,w,?,?,t,l,?
p,b,?,g,g,s,g,?,?,f,f,?
p,f,y,o,y,?,y,?,?,f,f,?
e,s,s,o,b,?,w,?,?,f,f,?
p,x,s,y,y,?,y,u,w,t,z,k
p,x,?,e,g,?,y,?,?,f,f,?
e,b,h,k,g,s,g,?,?,f,f,?
p,x,i,k,p,?,w,?,?,f,f,p
e,x,t,g,n,t,w,?,?,t,l,?
p,s,w,n,y,?,n,?,?,f,f,?
p,f,h,e,w,?,w,?,?,f,f,?
p,c,i,y,n,?,w,?,?,f,f,?
p,o,s,o,f,f,f,?,?,t,f,?
p,f,y,w,n,k,w,?,?,t,e,?
p,f,?,n,p,?,p,?,?,f,f,?
p,x,h,n,n,y,o,?,?,t,z,?
e,b,y,n,k,?,w,?,?,f,f,?
e,x,?,n,w,?,g,?,?,f,f,?
e,x,t,y,y,?,w,?,?,f,f,?
p,x,i,e,e,?,e,?,?,f,f,n
e,f,s,u,w,?,w,?,?,f,f,?
p,b,t,w,w,y,w,u,w,t,l,?
p,f,?,w,p,?,p,?,?,f,f,?
p,x,?,p,g,?,y,?,?,f,f,?
p,x,s,n,y,?,y,?,?,f,f,?
p,b,d,n,n,i,n,?,?,t,?,?
p,c,e,w,p,?,w,?,?,f,f,?
e,p,t,n,w,?,n,?,?,f,f,?
e,x,?,n,w,?,w,?,?,f,f,?
p,x,i,n,n,i,n,?,k,t,z,k
p,f,?,w,w,i,u,?,?,f,f,?
e,f,?,g,y,?,w,?,?,f,f,?
p,x,k,n,n,?,n,?,?,f,f,?
p,f,t,n,p,i,g,?,?,f,f,?
p,f,g,o,w,y,w,u,w,t,p,?
e,s,?,n,g,?,u,?,?,f,f,?
p,f,t,n,y,?,y,?,?,f,f,?
p,f,h,r,w,?,w,u,w,t,g,?
e,x,h,y,y,?,w,?,?,f,f,?
e,x,s,n,y,?,n,?,w,t,p,?
e,x,d,y,y,?,y,?,?,f,f,?
p,x,?,g,u,?,g,?,u,f,f,?
e,f,g,e,w,?,n,?,?,f,f,?
p,s,d,n,y,k,n,?,?,f,f,?
e,x,e,n,w,?,w,?,?,t,?,?
p,f,?,o,o,?,o,?,?,f,f,w
p,o,l,g,f,f,f,?,?,f,f,?
p,x,g,e,n,s,k,?,?,f,f,?
p,f,k,w,p,?,n,?,?,f,f,p
e,f,?,g,y,?,w,?,?,f,f,?
e,f,y,e,w,?,n,?,w,t,e,?
p,x,?,g,u,?,g,?,u,f,f,?
e,x,y,n,p,?,w,?,?,t,r,?
e,c,g,n,g,?,g,?,?,f,f,?
p,b,g,y,n,?,n,?,?,f,f,?
e,s,?,n,w,s,w,?,?,f,f,?
p,x,t,k,w,?,r,?,?,f,f,?
p,o,l,g,f,f,f,?,?,f,f,?
p,s,?,n,p,?,e,?,?,f,f,?
p,b,y,r,u,y,w,?,?,t,e,k
e,f,s,k,w,?,w,?,?,f,f,?
p,f,k,n,y,k,k,?,?,f,f,?
p,b,y,n,u,s,w,?,?,f,f,?
e,x,?,g,w,?,w,?,?,f,f,?
e,x,?,n,g,?,u,?,?,f,f,?
p,x,d,e,w,?,e,?,?,f,f,?
p,s,?,o,o,?,w,?,?,t,f,?
e,f,y,n,p,i,n,?,?,f,f,?
e,s,d,n,p,?,n,?,?,f,f,?
p,p,g,n,w,y,w,u,w,t,p,?
e,s,l,w,w,?,w,?,?,f,f,?
p,x,?,b,w,?,w,?,?,f,f,?
e,f,e,n,w,?,w,?,?,f,f,?
e,o,y,y,y,k,k,?,?,f,f,?
p,x,s,y,r,?,y,u,w,t,z,r
e,f,y,w,w,s,w,?,?,t,e,?
e,c,g,n,g,?,g,?,?,f,f,?
p,x,y,o,o,?,o,?,?,t,r,n
e,f,s,k,y,?,w,?,?,f,f,w
p,f,y,u,y,y,y,?,?,f,f,?
e,x,?,n,g,?,u,?,?,f,f,?
e,x,t,n,y,?,n,?,?,f,f,?
p,x,e,y,o,?,o,?,?,t,r,n
e,f,h,g,g,s,g,?,?,f,f,?
p,x,y,y,w,y,n,?,?,t,r,?
p,b,y,w,n,k,w,?,?,t,e,?
p,s,d,e,y,?,n,?,?,f,f,?
p,b,t,y,g,?,n,?,?,t,f,?
p,f,k,n,p,?,n,?,?,f,f,p
e,s,d,n,p,?,g,?,?,f,f,?
p,x,t,n,w,?,w,?,?,f,f,?
e,x,w,n,y,?,n,?,?,f,f,?
p,x,i,n,k,i,n,?,k,t,z,k
e,x,?,n,w,?,g,?,?,f,f,?
p,x,i,l,w,?,w,?,?,f,f,p
e,f,s,u,w,?,w,?,?,f,f,?
p,s,?,u,w,?,y,?,?,f,f,?
e,x,d,n,y,?,y,?,?,f,f,?
e,s,?,y,f,?,o,?,?,f,f,?
p,x,h,o,y,g,o,?,?,f,f,?
p,b,?,n,g,s,g,?,?,f,f,?
p,b,?,g,k,?,n,?,w,f,f,k
p,f,y,e,n,k,w,?,?,t,e,?
e,f,?,p,w,s,w,?,?,f,f,?
p,x,e,n,e,?,u,?,?,f,f,?
e,f,s,k,w,?,w,?,?,f,f,?
e,p,y,n,w,?,n,?,?,t,m,?
p,x,?,p,w,?,w,?,?,f,f,?
e,s,?,w,w,?,w,?,?,f,f,?
p,b,t,w,w,y,w,u,w,t,e,?
p,x,s,o,o,?,o,?,?,f,f,?
e,o,?,n,w,?,n,?,?,f,f,?
p,x,y,w,p,?,w,?,?,t,l,?
p,o,?,e,f,g,n,?,?,f,f,?
e,x,d,y,y,?,y,?,?,f,f,?
e,x,t,y,y,?,w,?,?,f,f,?
e,x,?,w,w,?,w,u,y,t,g,?
p,b,g,y,n,?,n,?,?,f,f,?
p,x,t,n,w,g,n,?,?,f,f,?
p,s,d,n,n,?,n,?,?,f,f,?
p,o,?,w,f,g,w,?,?,t,f,?
e,x,s,n,n,?,n,?,w,t,p,?
e,x,y,n,p,y,n,?,?,f,f,?
p,x,g,w,w,?,e,?,?,f,f,?
e,x,h,n,k,s,w,?,w,f,f,k
p,x,h,o,n,y,o,?,?,t,z,?
e,f,s,w,w,?,w,?,?,f,f,?
p,f,s,n,y,?,n,?,?,f,f,?
e,p,y,w,p,s,w,?,?,t,e,?
p,f,w,y,r,t,y,?,?,f,f,?
e,x,d,n,y,?,y,?,?,f,f,?
p,f,?,w,p,?,p,?,?,f,f,?
p,s,?,u,w,?,y,?,?,f,f,?
p,s,d,y,y,?,o,?,?,f,f,?
p,s,t,n,w,t,n,?,?,f,f,?
e,f,s,n,w,i,n,?,?,f,f,?
e,x,d,n,r,?,e,?,?,f,f,?
p,o,k,r,o,?,n,?,?,f,f,?
p,o,s,w,w,f,f,?,?,f,f,n
p,b,?,k,n,?,n,?,w,f,f,k
p,f,?,u,w,i,w,?,?,f,f,?
e,s,?,n,w,s,w,?,?,f,f,?
p,p,t,n,g,t,y,?,?,t,e,?
