@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-diameter REAL
@ATTRIBUTE cap-color {w, n, o, e, y, p, r, k, g, u, l, b}
@ATTRIBUTE stem-height REAL
@ATTRIBUTE stem-width REAL
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}
@ATTRIBUTE ring-type {l, f, p, g, e, ?, r, m, z}
@ATTRIBUTE habitat {d, l, g, h, m, w, u, p}

@DATA
e,4.16,r,6.24,7.79,l,f,l
e,9.55,n,7.94,17.99,n,p,d
p,12.66,y,16.49,25.73,y,r,d
p,4.67,e,6.67,5.13,y,f,d
p,10.35,p,7.81,17.73,p,f,d
p,7.72,y,5.79,14.8,y,f,d
p,3.78,n,4.64,3.22,n,f,d
p,3.63,w,3.51,2.46,w,f,g
e,10.74,l,7.63,19.5,b,f,d
e,10.76,n,10.47,18.6,w,g,d
p,2.75,n,2.84,5.43,n,f,d
p,3.67,b,4.68,2.89,n,f,d
e,10.84,n,8.06,25.02,n,e,d
p,6.64,g,4.9,10.02,n,f,d
e,2.94,g,4.62,5.78,g,f,d
p,9.83,y,7.21,16.78,n,f,d
p,8.26,y,5.96,16.94,y,f,d
p,3.53,e,4.16,5.0,e,f,d
p,4.49,n,7.88,3.86,p,f,d
p,22.01,w,8.9,33.69,w,f,d
p,9.92,o,5.81,12.47,w,f,d
e,5.95,n,6.55,22.33,n,f,d
p,14.94,n,7.51,16.03,n,f,d
e,4.31,o,4.74,10.4,n,f,d
p,8.34,y,10.49,11.09,n,?,d
p,8.35,n,11.55,36.07,n,f,d
p,6.6,g,4.23,16.71,n,f,d
p,6.88,y,4.19,6.95,o,f,d
e,3.79,w,6.16,3.7,w,f,d
e,7.51,n,4.63,7.73,w,f,h
p,10.67,w,7.87,16.73,n,f,d
p,2.76,k,8.45,2.36,g,f,g
e,47.33,y,6.35,35.74,k,f,d
e,3.35,w,4.97,7.24,w,f,g
e,8.9,g,7.6,20.64,u,f,d
e,6.44,n,5.71,10.21,n,f,d
e,5.24,g,5.66,4.55,w,l,d
e,11.12,b,2.38,14.46,w,f,d
e,4.21,n,5.76,3.46,g,f,d
e,5.31,n,12.4,12.42,w,f,d
e,5.33,n,6.44,50.69,n,f,d
p,7.78,n,7.81,14.95,w,p,d
p,3.31,w,3.32,8.7,w,f,g
e,3.49,w,4.18,2.69,y,f,g
e,17.99,o,15.4,34.09,w,f,d
p,4.6,w,6.05,13.33,w,f,g
p,7.07,e,15.02,8.59,n,f,d
p,6.36,g,10.14,14.75,w,z,d
p,8.61,w,11.05,13.37,w,f,d
e,13.38,g,8.79,25.82,w,f,d
p,3.33,w,4.21,2.81,n,f,g
e,10.75,w,8.6,18.05,w,r,m
e,17.09,k,7.32,28.25,w,f,d
e,9.91,y,7.62,18.0,w,f,d
p,7.41,n,5.88,6.79,n,?,d
e,8.44,n,7.45,10.29,w,f,d
p,6.2,n,4.75,7.07,n,f,d
p,7.54,e,5.7,9.27,n,f,d
p,12.94,n,12.79,34.19,n,f,d
p,10.75,n,6.04,14.18,n,f,d
e,5.0,w,7.3,4.97,w,f,d
p,1.45,y,4.52,2.91,n,f,g
e,47.0,y,6.7,31.73,n,f,d
e,7.63,n,4.98,14.18,w,r,w
p,12.09,n,10.43,27.6,w,f,d
p,4.16,y,9.84,7.08,y,z,d
p,4.31,y,3.48,5.4,o,f,d
p,8.0,u,6.46,19.51,y,f,d
p,1.35,n,4.67,1.57,n,f,g
p,13.74,n,8.53,28.68,y,f,d
p,6.72,n,2.66,23.53,n,f,d
e,10.2,y,7.61,24.71,n,f,d
p,6.66,y,7.59,7.39,n,z,d
p,3.04,u,4.88,5.15,u,f,d
e,8.77,n,7.28,19.28,b,f,d
p,10.03,y,5.89,17.12,n,f,d
p,1.79,n,7.79,2.82,y,e,m
p,12.62,e,3.89,25.39,n,f,d
e,5.85,n,6.13,6.65,n,r,d
e,4.47,n,5.64,3.68,w,f,d
p,16.54,n,10.08,32.74,y,f,d
p,3.21,n,9.16,5.23,w,?,g
e,9.62,y,7.63,15.84,y,?,d
p,3.41,w,3.28,7.28,w,f,g
p,3.03,y,5.0,3.36,n,r,d
e,16.0,w,12.47,18.8,w,r,m
p,2.79,w,3.79,2.88,n,f,g
p,1.59,u,3.34,3.11,w,f,d
p,0.67,o,4.3,0.97,y,f,g
p,3.91,y,5.46,4.54,y,f,l
p,16.13,n,6.13,38.39,k,f,d
p,10.59,n,11.17,15.29,n,f,h
p,2.35,y,6.81,3.24,n,f,g
p,7.64,r,4.35,11.44,w,f,d
p,1.98,n,6.15,3.15,n,f,m
p,10.45,y,7.94,24.1,e,f,d
e,2.6,n,4.0,5.44,g,f,d
e,7.36,e,5.52,12.16,y,f,d
p,3.94,w,7.27,3.56,p,f,d
p,8.33,y,10.03,12.04,n,?,d
p,5.25,y,7.23,12.08,w,f,g
p,4.12,n,4.3,3.26,n,f,g
e,8.64,n,7.54,19.89,w,f,d
e,1.97,b,4.76,4.1,w,f,d
e,2.28,n,6.52,3.21,n,f,h
p,4.12,w,0.0,0.0,f,f,d
e,4.0,n,5.91,7.87,o,f,d
e,12.0,n,8.16,21.34,b,f,l
p,4.47,y,5.85,6.05,w,f,d
p,8.3,w,8.34,15.72,w,l,d
e,13.02,n,10.64,18.61,w,r,m
p,0.86,o,4.54,0.91,y,f,g
e,10.11,w,17.86,12.58,w,e,g
p,11.37,o,12.2,22.68,y,r,d
p,7.22,n,8.41,15.87,w,p,d
e,9.29,b,4.71,19.39,w,f,d
e,3.12,w,4.92,3.03,y,f,g
p,6.51,e,5.58,7.95,n,f,d
p,5.11,y,5.06,5.45,y,f,d
p,9.42,n,1.62,15.43,n,f,d
e,4.81,w,7.89,7.84,n,?,g
e,3.53,y,6.62,7.36,o,f,d
e,1.71,g,5.21,2.54,w,f,d
p,5.76,e,6.1,6.9,e,f,d
p,3.73,n,5.03,8.19,w,z,d
p,6.13,y,8.56,7.98,n,z,d
e,3.93,y,6.65,6.56,y,f,d
e,8.88,y,8.93,18.13,w,f,d
p,3.59,u,5.56,6.28,u,f,d
e,8.04,p,6.0,17.52,w,f,d
p,7.02,n,6.55,10.32,n,f,l
e,3.36,n,5.65,6.52,w,f,d
p,2.77,r,5.28,6.14,n,e,m
p,4.26,y,5.16,10.41,y,f,d
e,7.69,g,5.73,19.32,u,f,g
e,5.03,n,8.66,53.64,n,f,l
e,15.56,n,9.74,17.61,w,?,d
p,7.25,w,12.75,13.62,w,l,d
p,21.37,w,8.53,31.3,w,f,d
e,6.17,n,7.99,67.06,n,f,l
p,9.75,r,6.21,14.34,n,f,h
p,3.32,g,0.0,0.0,f,f,d
e,3.45,n,6.98,8.4,o,f,d
e,5.93,n,4.25,12.15,w,l,w
p,4.68,o,3.23,6.58,y,f,d
e,3.78,n,4.72,10.13,y,f,d
e,46.89,y,7.17,38.72,k,f,d
p,6.77,w,12.52,11.63,w,e,d
e,9.5,k,5.4,18.18,w,f,d
p,0.84,o,5.62,1.16,o,f,g
e,8.21,n,6.9,11.73,n,f,g
e,7.15,k,4.93,15.91,w,f,d
p,2.93,w,3.93,3.24,n,f,g
e,10.0,n,8.84,26.96,n,e,d
p,2.97,n,3.65,5.77,n,f,d
e,7.91,y,6.93,14.25,y,?,d
e,3.92,w,4.68,6.85,w,f,m
e,11.01,y,8.78,24.69,w,f,d
p,0.96,n,2.5,2.23,n,f,g
p,4.75,o,5.09,6.6,n,z,d
p,1.55,n,4.19,1.45,n,f,d
e,9.52,n,6.11,9.87,w,f,d
p,10.17,w,7.49,17.54,n,f,d
e,5.65,n,5.55,8.13,w,f,h
e,15.98,n,17.13,74.5,n,f,d
e,10.43,w,7.81,29.23,w,f,m
e,10.26,o,6.36,17.7,w,f,d
p,4.6,r,6.99,8.08,w,e,g
e,6.44,g,4.55,8.93,g,f,d
p,2.09,n,6.13,2.58,y,e,m
p,3.0,y,5.14,6.14,y,f,d
p,5.52,e,8.15,10.69,n,z,d
e,7.64,n,4.5,13.24,w,r,w
p,8.59,w,12.61,12.96,w,l,d
e,15.64,n,24.52,19.45,n,m,d
e,4.8,o,7.85,7.08,o,f,d
p,6.26,g,4.8,9.75,n,f,l
p,8.25,n,1.47,13.8,n,f,d
p,1.55,n,5.28,2.08,g,f,d
e,4.24,n,4.09,10.29,n,f,d
p,8.53,y,1.53,15.06,y,f,d
p,6.01,n,6.03,8.21,n,f,d
p,1.78,n,3.79,1.5,n,f,d
e,4.88,g,5.36,8.26,w,f,d
p,8.23,y,8.83,9.4,n,z,d
p,3.15,w,3.94,2.55,w,f,g
e,2.63,b,7.04,5.2,w,f,d
e,10.69,r,6.37,24.44,p,f,d
p,7.99,n,4.42,12.05,n,f,d
p,4.9,y,4.3,8.78,y,f,d
e,3.15,n,5.48,2.47,w,f,d
p,2.61,k,8.36,2.43,g,f,g
e,10.73,o,6.59,17.54,w,f,d
p,2.06,k,4.16,2.89,w,f,g
p,3.96,n,6.38,4.65,w,f,d
p,5.87,e,8.87,10.57,y,z,d
e,5.68,y,5.84,14.95,g,f,d
p,3.09,w,3.45,2.78,w,f,g
e,4.64,n,6.0,3.52,g,f,d
p,9.64,n,12.47,16.64,n,f,h
e,7.74,w,20.74,12.64,w,e,g
e,7.8,n,6.58,10.8,w,f,d
e,3.46,n,4.11,5.7,g,f,d
e,7.76,w,5.11,12.52,w,e,g
p,2.59,n,6.91,3.33,n,f,m
e,1.69,n,5.03,1.49,g,f,l
e,5.69,n,6.53,9.24,n,f,l
e,1.34,n,4.94,1.24,g,f,d
e,9.51,n,7.07,9.53,n,f,d
e,8.15,n,6.17,19.82,u,f,g
p,4.52,l,6.53,8.13,n,e,g
e,4.88,n,10.53,11.35,w,f,d
e,7.32,n,7.42,16.55,y,f,d
p,2.87,o,3.17,5.38,o,f,h
e,12.98,n,6.28,16.33,w,l,m
e,4.69,w,7.91,9.23,n,?,d
p,6.14,y,7.11,12.62,w,f,d
p,0.63,y,3.56,0.75,w,f,d
e,9.17,n,10.48,15.62,w,g,d
p,10.76,n,10.84,14.69,w,e,d
p,4.04,u,6.13,6.42,u,f,d
p,2.68,w,2.73,2.46,w,f,g
p,0.86,o,4.51,1.06,o,f,g
p,5.17,y,6.53,7.49,o,f,g
e,9.5,b,5.03,19.94,w,f,d
p,0.82,n,3.53,2.37,n,f,g
e,3.1,w,3.87,6.63,w,f,g
p,6.08,e,7.72,9.62,e,z,d
p,7.5,w,12.0,13.5,w,e,d
e,7.02,w,5.94,13.32,w,e,m
p,4.34,p,3.63,12.22,y,f,d
p,7.8,n,14.93,17.49,w,f,d
e,11.61,w,6.67,24.5,w,f,d
p,4.98,y,6.16,7.43,o,f,g
p,2.91,o,3.5,6.35,n,f,d
p,8.56,n,10.94,33.08,n,f,d
e,1.23,n,4.61,1.58,y,f,h
e,55.94,y,7.03,38.82,n,f,d
p,4.59,o,5.42,6.35,n,z,d
e,0.99,n,4.85,0.97,n,f,h
p,3.14,g,0.0,0.0,f,f,d
e,7.31,n,5.79,9.92,w,f,d
e,1.77,n,4.29,2.86,n,f,h
e,3.51,w,4.04,6.03,w,f,m
p,1.37,n,4.82,1.48,n,f,d
e,4.95,y,5.12,8.78,w,f,d
e,10.77,n,9.21,17.94,w,p,d
p,16.48,w,7.31,34.37,w,f,d
p,2.39,l,5.03,2.69,w,f,g
p,4.95,k,7.05,7.77,k,f,m
e,4.95,g,6.23,3.83,n,f,d
p,12.83,n,11.25,14.62,w,g,d
p,6.99,n,6.8,8.31,e,f,d
p,4.98,y,3.51,6.06,o,f,h
p,4.46,n,4.1,3.19,n,f,g
p,6.76,e,5.94,8.84,e,f,d
p,2.82,e,3.94,4.7,e,f,d
e,6.41,n,3.8,11.73,y,f,d
p,7.45,w,8.31,13.87,w,l,d
p,2.55,g,5.38,2.19,g,f,d
p,1.8,o,2.67,4.35,y,f,h
e,7.75,o,7.27,13.09,w,f,d
p,3.47,y,7.01,6.51,y,z,d
p,4.39,e,3.23,12.09,y,f,d
e,5.12,k,4.58,8.6,g,f,d
p,2.02,k,4.32,2.4,w,f,g
e,6.77,g,6.86,6.22,w,l,d
p,2.48,n,3.03,5.07,n,f,d
p,6.51,e,5.7,17.73,w,f,d
p,5.82,y,6.9,9.24,w,f,d
p,4.5,o,0.0,0.0,f,f,d
p,2.67,w,4.24,3.38,w,e,d
p,3.5,n,8.22,4.01,p,f,l
p,3.63,n,4.26,5.54,o,z,d
e,3.18,n,6.35,2.81,w,f,d
e,7.49,n,7.49,14.58,g,f,d
e,6.36,y,6.85,12.25,w,f,d
p,3.62,e,4.62,4.89,e,f,d
e,8.34,u,4.92,15.96,w,f,d
p,9.01,w,13.37,13.73,w,l,d
p,4.41,w,8.74,4.23,p,f,d
p,5.47,p,3.35,12.68,y,f,d
p,9.6,n,7.78,25.42,y,f,d
p,5.69,n,5.59,6.49,n,?,d
p,4.84,w,5.94,12.29,w,f,g
e,14.79,n,20.88,83.88,n,f,d
e,4.5,n,6.2,3.89,w,f,d
p,7.07,n,7.91,7.74,n,z,g
p,2.87,w,3.92,3.48,u,f,d
e,15.0,g,2.46,16.08,w,f,d
p,1.52,n,4.11,1.39,n,f,d
p,3.54,n,5.64,3.87,g,f,m
p,16.16,o,16.73,16.79,w,p,d
e,8.52,n,7.06,19.48,u,f,g
p,4.92,n,4.23,12.25,y,f,d
p,8.4,r,10.91,15.98,w,g,d
e,8.26,y,7.55,16.57,w,f,d
e,8.29,n,6.58,16.74,n,p,d
e,6.35,y,7.48,14.65,y,f,d
p,8.78,g,8.72,18.94,g,f,d
e,1.06,e,5.37,1.1,n,f,h
p,11.57,n,5.12,28.42,n,f,d
e,14.15,n,9.27,16.44,w,?,g
p,0.87,o,6.13,1.16,o,f,g
p,2.3,g,0.0,0.0,f,f,d
p,0.63,e,3.7,0.98,k,f,d
p,3.28,w,3.44,2.63,n,f,g
e,7.62,g,2.36,13.06,w,f,d
e,8.63,e,6.86,25.32,n,e,d
p,8.37,g,9.12,20.1,g,f,d
e,5.77,n,4.54,12.11,w,r,w
e,1.54,n,4.74,1.34,g,f,l
p,1.79,y,5.91,2.79,n,f,m
e,6.63,n,5.12,8.51,w,f,h
p,18.69,k,6.06,28.21,r,f,l
p,3.42,g,0.0,0.0,f,f,d
p,4.87,n,5.08,4.55,e,f,d
p,4.2,r,5.57,6.02,w,e,m
e,7.84,k,4.43,13.89,w,f,d
p,13.44,n,4.9,27.29,k,f,d
p,3.57,n,5.39,4.29,w,f,d
e,7.03,g,6.22,11.21,w,f,d
e,8.86,n,6.79,18.62,u,f,g
p,6.21,e,7.7,9.65,e,f,d
p,9.28,o,6.18,13.98,w,f,d
e,2.31,n,7.45,3.32,n,f,h
e,3.67,n,4.53,5.87,n,f,d
p,7.36,n,8.28,16.35,w,p,d
e,4.67,w,3.21,7.64,w,f,g
p,4.66,b,5.12,6.94,w,f,d
e,15.16,n,9.1,25.89,w,f,d
e,62.34,y,8.65,64.11,k,f,d
p,3.28,y,7.7,7.1,y,z,d
e,9.99,w,19.76,13.03,w,e,u
e,1.19,n,4.19,1.16,g,f,d
p,9.09,o,11.6,21.11,o,r,d
e,18.05,k,8.05,23.9,w,f,d
p,8.91,u,6.86,17.09,y,f,d
e,9.7,n,8.47,22.79,u,f,d
e,10.42,n,8.71,22.89,n,f,d
p,9.67,y,13.37,23.89,o,r,d
e,6.21,g,4.3,10.24,g,f,d
p,4.62,y,6.13,3.79,n,r,h
p,3.84,w,4.87,3.39,w,e,d
p,6.46,e,6.26,8.85,n,f,d
p,0.92,y,3.06,2.43,n,f,g
p,3.71,n,3.8,2.75,n,f,g
e,4.3,n,5.16,7.33,g,f,d
p,10.7,n,11.04,33.49,w,f,d
e,21.66,n,17.62,71.97,n,f,d
p,7.86,n,8.67,8.84,n,z,g
e,8.8,n,8.48,16.3,g,f,g
p,2.11,l,3.62,2.36,w,f,g
e,6.39,u,4.09,13.92,w,f,d
p,2.98,u,4.18,5.42,y,f,d
e,7.87,n,6.26,12.34,y,f,d
e,3.01,y,6.08,6.72,o,f,d
p,4.14,o,5.61,6.25,o,f,g
p,1.78,n,4.07,1.61,g,f,d
p,2.74,g,8.84,2.56,n,f,g
p,3.33,e,4.22,3.7,w,e,m
e,8.92,p,7.2,17.58,w,f,d
p,12.11,n,10.86,31.66,u,f,d
e,9.25,k,4.27,15.25,w,f,d
e,19.31,n,27.82,20.51,n,m,m
p,2.76,p,4.36,6.23,w,f,d
e,14.03,w,7.05,26.39,w,f,d
p,6.62,w,11.68,12.78,w,e,d
p,2.07,o,3.3,6.01,o,f,m
e,8.37,n,4.63,24.43,n,f,d
p,7.16,w,6.88,11.09,w,l,g
p,9.76,e,3.73,25.28,n,f,d
e,4.76,y,6.81,14.56,y,f,d
e,7.02,y,6.72,13.05,w,f,d
e,5.14,w,5.91,12.71,w,g,d
p,2.51,y,6.73,3.34,n,f,g
p,7.79,n,14.56,7.33,n,f,d
p,7.16,n,8.57,10.86,n,f,d
p,3.04,w,5.83,29.91,w,f,d
e,10.12,n,6.93,18.49,n,p,d
e,5.06,n,4.07,9.63,n,f,d
p,1.1,w,3.13,1.59,e,f,d
e,2.33,n,4.27,5.67,w,f,d
p,4.46,o,4.31,5.25,o,z,d
e,2.49,w,3.49,6.19,w,f,g
p,18.58,n,5.58,41.79,n,f,d
e,8.85,w,19.26,12.56,w,e,d
p,2.67,y,5.08,5.1,y,f,g
e,5.3,n,5.9,14.18,y,f,d
p,2.16,w,7.88,3.61,p,f,l
p,3.47,u,4.26,6.67,y,f,d
p,3.57,y,2.92,5.58,o,f,d
p,7.11,n,4.57,12.79,n,f,d
e,5.97,n,5.35,9.24,n,f,d
e,7.63,n,5.17,12.83,e,f,d
p,7.58,r,1.54,15.8,n,f,d
p,3.49,w,0.0,0.0,f,f,d
p,3.11,k,9.36,2.79,n,f,g
p,1.93,u,3.52,3.51,w,f,d
e,5.41,n,4.0,6.88,w,f,d
p,2.25,n,7.03,2.69,y,e,m
p,2.87,k,10.35,2.66,g,f,g
e,10.11,e,8.66,12.63,n,?,d
e,16.08,w,23.91,20.28,n,m,d
e,8.23,n,12.07,25.1,w,f,d
p,3.26,p,4.75,4.83,r,f,m
e,16.7,g,9.42,26.46,w,f,d
p,11.89,n,10.19,33.89,w,f,d
p,4.27,w,8.55,4.29,n,f,d
p,8.5,n,10.0,25.08,n,f,d
p,5.13,o,4.07,6.81,o,f,h
p,7.16,e,5.76,7.37,n,f,d
p,2.92,u,4.89,5.82,u,f,l
p,2.39,o,5.99,3.43,n,f,g
p,3.06,o,3.71,6.85,n,f,d
p,8.05,n,4.51,12.97,g,f,d
p,0.65,o,4.64,1.02,y,f,g
e,4.45,g,6.24,3.81,g,f,d
e,6.95,n,4.69,9.5,n,f,d
p,2.99,o,3.24,6.4,y,f,h
p,1.44,n,4.08,1.45,n,f,d
e,8.52,w,10.04,18.76,w,l,m
p,4.78,n,8.32,12.11,w,z,d
e,11.58,l,7.87,21.19,w,f,d
p,4.34,n,10.99,6.01,w,?,g
p,2.76,o,3.32,5.84,o,f,h
p,12.78,o,12.24,24.84,y,r,d
p,6.16,e,8.4,9.19,k,f,m
p,0.76,e,3.39,0.98,k,f,d
p,16.63,n,8.69,33.69,y,f,d
e,5.77,y,5.33,15.62,y,f,d
p,12.19,n,8.28,32.83,y,f,d
p,11.6,r,6.37,16.68,n,f,h
p,11.55,o,13.73,23.11,o,r,d
p,1.49,n,4.27,1.5,n,f,h
p,1.51,n,4.93,2.43,n,f,g
p,5.82,e,7.82,10.33,e,z,d
e,2.04,n,4.52,2.86,n,f,h
e,11.14,n,9.85,16.41,n,?,d
p,10.48,n,9.9,11.16,w,f,h
e,4.68,n,3.76,11.26,w,r,w
e,9.2,n,6.97,10.04,w,f,d
e,14.36,n,11.03,18.27,w,l,m
p,3.09,g,8.12,2.54,n,f,g
e,7.4,y,6.42,16.53,g,f,d
p,10.5,e,3.84,26.04,n,f,d
p,2.65,n,7.5,2.4,n,f,d
e,4.11,w,3.38,5.8,w,f,m
e,4.13,n,6.43,8.5,w,f,d
p,0.83,e,3.82,0.94,k,f,d
e,9.53,n,8.49,22.88,n,f,d
e,9.17,n,9.99,16.8,w,g,d
p,2.84,w,6.67,3.34,p,f,l
p,8.05,n,8.66,16.12,w,p,d
e,10.35,n,11.95,18.59,w,g,d
p,4.59,r,0.0,0.0,f,f,d
e,5.39,g,5.12,3.34,w,l,d
p,11.56,n,4.82,28.28,n,f,d
e,8.29,u,3.87,13.85,w,f,d
p,1.19,y,2.83,4.9,y,f,d
p,5.33,n,16.77,8.38,n,f,d
p,2.96,g,3.21,7.99,w,f,g
e,7.36,u,3.93,13.48,w,f,d
p,2.87,w,5.46,25.83,w,f,d
p,6.91,n,6.15,16.19,w,f,d
e,7.15,y,5.72,15.03,w,f,d
p,2.75,w,4.04,3.72,w,f,p
