@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-diameter REAL
@ATTRIBUTE cap-shape {b, x, s, f, o, c, p}
@ATTRIBUTE cap-surface {t, g, d, y, ?, s, h, l, w, i, k, e}
@ATTRIBUTE cap-color {w, n, o, e, y, p, r, k, g, u, l, b}
@ATTRIBUTE gill-attachment {e, a, d, x, s, ?, p, f}
@ATTRIBUTE gill-color {w, y, p, g, r, e, f, n, o, u, k, b}
@ATTRIBUTE stem-height REAL
@ATTRIBUTE stem-width REAL
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}
@ATTRIBUTE ring-type {l, f, p, g, e, ?, r, m, z}
@ATTRIBUTE habitat {d, l, g, h, m, w, u, p}

@DATA
e,30.48,x,w,n,p,y,15.28,76.16,n,f,d
p,3.57,o,l,g,f,f,0.0,0.0,f,f,d
e,8.75,f,s,w,s,w,8.26,31.44,w,f,m
p,3.75,x,t,n,s,p,5.24,7.88,w,z,d
e,6.97,x,h,g,a,n,6.12,4.88,g,l,d
p,9.65,x,i,n,a,n,10.24,14.25,n,f,d
p,2.25,s,w,o,d,y,3.13,4.66,n,f,d
p,3.02,s,s,w,d,w,2.55,6.35,w,f,g
e,0.81,b,g,g,?,g,3.37,1.61,w,f,d
e,3.9,x,d,o,a,e,4.67,5.99,e,f,g
p,6.44,c,e,y,x,r,7.22,11.97,w,f,g
p,7.88,f,h,r,?,w,10.5,15.45,w,g,d
p,10.04,x,t,r,d,n,5.58,16.6,n,f,d
p,9.73,s,t,p,d,p,7.44,13.91,p,f,d
p,2.23,f,t,n,?,n,8.56,3.54,y,f,g
e,14.18,x,y,n,e,w,9.57,16.82,w,?,g
p,12.74,x,t,n,a,w,11.43,32.89,w,f,d
p,1.66,o,k,n,?,n,2.51,1.36,n,f,d
e,2.76,x,h,p,a,o,4.36,6.67,e,f,g
e,2.33,x,?,b,?,w,7.05,5.04,w,f,d
e,1.46,x,t,y,d,w,7.13,2.24,y,f,h
p,3.93,f,t,n,x,p,6.35,4.68,g,f,d
p,6.05,x,y,y,a,y,9.63,10.67,y,?,d
e,4.04,s,?,y,f,f,7.27,8.11,y,f,d
p,16.44,f,t,n,d,b,5.28,27.21,r,f,l
p,11.0,f,?,g,e,w,11.03,15.65,w,g,d
p,6.1,s,d,e,d,w,4.7,8.43,e,f,d
e,8.8,f,g,n,s,y,9.79,13.39,o,f,d
e,4.27,x,h,n,?,n,6.51,6.62,w,f,d
e,1.39,c,g,n,a,g,4.82,1.52,g,f,l
p,1.31,b,h,n,a,n,4.25,1.19,n,f,d
p,0.96,x,g,w,a,w,2.91,1.51,n,f,l
p,4.31,f,?,u,a,w,4.68,7.98,w,f,d
e,5.03,x,h,n,a,n,5.77,4.48,g,l,d
e,4.16,x,?,r,a,r,6.24,7.79,l,f,l
e,9.55,x,s,n,p,n,7.94,17.99,n,p,d
p,12.66,x,e,y,a,y,16.49,25.73,y,r,d
p,4.67,f,l,e,x,n,6.67,5.13,y,f,d
p,10.35,s,t,p,d,p,7.81,17.73,p,f,d
p,7.72,x,t,y,x,y,5.79,14.8,y,f,d
p,3.78,f,d,n,x,y,4.64,3.22,n,f,d
p,3.63,x,d,w,a,p,3.51,2.46,w,f,g
e,10.74,s,?,l,s,b,7.63,19.5,b,f,d
e,10.76,x,?,n,?,w,10.47,18.6,w,g,d
p,2.75,f,w,n,d,y,2.84,5.43,n,f,d
p,3.67,f,d,b,x,w,4.68,2.89,n,f,d
e,10.84,f,y,n,?,w,8.06,25.02,n,e,d
p,6.64,x,?,g,d,y,4.9,10.02,n,f,d
e,2.94,s,d,g,d,p,4.62,5.78,g,f,d
p,9.83,x,s,y,s,p,7.21,16.78,n,f,d
p,8.26,f,t,y,x,y,5.96,16.94,y,f,d
p,3.53,x,i,e,?,e,4.16,5.0,e,f,d
p,4.49,f,?,n,x,p,7.88,3.86,p,f,d
p,22.01,x,k,w,d,w,8.9,33.69,w,f,d
p,9.92,s,?,o,d,o,5.81,12.47,w,f,d
e,5.95,o,?,n,f,f,6.55,22.33,n,f,d
p,14.94,s,t,n,d,n,7.51,16.03,n,f,d
e,4.31,x,t,o,p,n,4.74,10.4,n,f,d
p,8.34,x,y,y,a,y,10.49,11.09,n,?,d
p,8.35,p,?,n,p,w,11.55,36.07,n,f,d
p,6.6,x,s,g,s,r,4.23,16.71,n,f,d
p,6.88,s,d,y,d,y,4.19,6.95,o,f,d
e,3.79,x,?,w,x,g,6.16,3.7,w,f,d
e,7.51,s,?,n,d,w,4.63,7.73,w,f,h
p,10.67,x,h,w,s,p,7.87,16.73,n,f,d
p,2.76,b,?,k,a,n,8.45,2.36,g,f,g
e,47.33,o,y,y,p,y,6.35,35.74,k,f,d
e,3.35,f,s,w,d,w,4.97,7.24,w,f,g
e,8.9,s,?,g,s,g,7.6,20.64,u,f,d
e,6.44,x,y,n,e,w,5.71,10.21,n,f,d
e,5.24,x,h,g,a,n,5.66,4.55,w,l,d
e,11.12,f,?,b,d,y,2.38,14.46,w,f,d
e,4.21,f,g,n,a,g,5.76,3.46,g,f,d
e,5.31,c,h,n,e,w,12.4,12.42,w,f,d
e,5.33,o,l,n,f,f,6.44,50.69,n,f,d
p,7.78,p,g,n,e,w,7.81,14.95,w,p,d
p,3.31,s,s,w,d,w,3.32,8.7,w,f,g
e,3.49,b,g,w,x,w,4.18,2.69,y,f,g
e,17.99,p,d,o,p,w,15.4,34.09,w,f,d
p,4.6,c,e,w,x,r,6.05,13.33,w,f,g
p,7.07,f,h,e,x,w,15.02,8.59,n,f,d
p,6.36,b,s,g,?,g,10.14,14.75,w,z,d
p,8.61,f,?,w,x,w,11.05,13.37,w,f,d
e,13.38,x,e,g,a,w,8.79,25.82,w,f,d
p,3.33,f,k,w,s,p,4.21,2.81,n,f,g
e,10.75,p,s,w,e,g,8.6,18.05,w,r,m
e,17.09,s,t,k,a,k,7.32,28.25,w,f,d
e,9.91,x,e,y,x,w,7.62,18.0,w,f,d
p,7.41,f,d,n,d,n,5.88,6.79,n,?,d
e,8.44,x,s,n,e,p,7.45,10.29,w,f,d
p,6.2,x,s,n,s,n,4.75,7.07,n,f,d
p,7.54,s,d,e,d,w,5.7,9.27,n,f,d
p,12.94,x,?,n,p,w,12.79,34.19,n,f,d
p,10.75,f,t,n,d,n,6.04,14.18,n,f,d
e,5.0,x,?,w,x,n,7.3,4.97,w,f,d
p,1.45,b,t,y,?,g,4.52,2.91,n,f,g
e,47.0,o,y,y,p,y,6.7,31.73,n,f,d
e,7.63,f,i,n,e,n,4.98,14.18,w,r,w
p,12.09,x,t,n,a,w,10.43,27.6,w,f,d
p,4.16,b,s,y,?,k,9.84,7.08,y,z,d
p,4.31,s,d,y,d,o,3.48,5.4,o,f,d
p,8.0,f,y,u,s,y,6.46,19.51,y,f,d
p,1.35,b,h,n,a,n,4.67,1.57,n,f,g
p,13.74,x,h,n,p,y,8.53,28.68,y,f,d
p,6.72,o,?,n,f,f,2.66,23.53,n,f,d
e,10.2,x,s,y,x,n,7.61,24.71,n,f,d
p,6.66,x,i,y,a,k,7.59,7.39,n,z,d
p,3.04,s,w,u,a,u,4.88,5.15,u,f,d
e,8.77,f,?,n,s,u,7.28,19.28,b,f,d
p,10.03,x,h,y,s,y,5.89,17.12,n,f,d
p,1.79,p,t,n,a,n,7.79,2.82,y,e,m
p,12.62,o,?,e,f,f,3.89,25.39,n,f,d
e,5.85,x,h,n,x,w,6.13,6.65,n,r,d
e,4.47,x,?,n,x,n,5.64,3.68,w,f,d
p,16.54,x,k,n,p,o,10.08,32.74,y,f,d
p,3.21,b,t,n,?,k,9.16,5.23,w,?,g
e,9.62,x,h,y,p,y,7.63,15.84,y,?,d
p,3.41,f,s,w,d,w,3.28,7.28,w,f,g
p,3.03,x,y,y,a,w,5.0,3.36,n,r,d
e,16.0,f,s,w,e,g,12.47,18.8,w,r,m
p,2.79,x,k,w,s,p,3.79,2.88,n,f,g
p,1.59,f,?,u,a,n,3.34,3.11,w,f,d
p,0.67,x,?,o,d,o,4.3,0.97,y,f,g
p,3.91,f,l,y,x,y,5.46,4.54,y,f,l
p,16.13,f,k,n,d,y,6.13,38.39,k,f,d
p,10.59,x,e,n,a,n,11.17,15.29,n,f,h
p,2.35,b,g,y,?,n,6.81,3.24,n,f,g
p,7.64,s,?,r,d,o,4.35,11.44,w,f,d
p,1.98,b,g,n,?,n,6.15,3.15,n,f,m
p,10.45,x,e,y,p,e,7.94,24.1,e,f,d
e,2.6,s,d,n,d,p,4.0,5.44,g,f,d
e,7.36,x,d,e,p,r,5.52,12.16,y,f,d
p,3.94,f,?,w,x,p,7.27,3.56,p,f,d
p,8.33,x,y,y,a,n,10.03,12.04,n,?,d
p,5.25,c,e,y,x,p,7.23,12.08,w,f,g
p,4.12,x,k,n,s,p,4.3,3.26,n,f,g
e,8.64,x,?,n,x,w,7.54,19.89,w,f,d
e,1.97,x,?,b,?,w,4.76,4.1,w,f,d
e,2.28,s,y,n,a,p,6.52,3.21,n,f,h
p,4.12,o,t,w,?,w,0.0,0.0,f,f,d
e,4.0,f,t,n,d,o,5.91,7.87,o,f,d
e,12.0,s,?,n,s,b,8.16,21.34,b,f,l
p,4.47,c,i,y,?,n,5.85,6.05,w,f,d
p,8.3,x,y,w,?,n,8.34,15.72,w,l,d
e,13.02,f,s,n,e,n,10.64,18.61,w,r,m
p,0.86,f,?,o,d,o,4.54,0.91,y,f,g
e,10.11,p,y,w,e,p,17.86,12.58,w,e,g
p,11.37,x,e,o,a,y,12.2,22.68,y,r,d
p,7.22,p,g,n,e,w,8.41,15.87,w,p,d
e,9.29,f,e,b,?,b,4.71,19.39,w,f,d
e,3.12,b,g,w,x,w,4.92,3.03,y,f,g
p,6.51,f,d,e,d,y,5.58,7.95,n,f,d
p,5.11,f,l,y,x,y,5.06,5.45,y,f,d
p,9.42,o,e,n,?,y,1.62,15.43,n,f,d
e,4.81,x,?,w,x,w,7.89,7.84,n,?,g
e,3.53,s,?,y,f,f,6.62,7.36,o,f,d
e,1.71,f,w,g,?,k,5.21,2.54,w,f,d
p,5.76,s,?,e,d,p,6.1,6.9,e,f,d
p,3.73,x,t,n,s,p,5.03,8.19,w,z,d
p,6.13,x,i,y,a,n,8.56,7.98,n,z,d
e,3.93,s,?,y,f,f,6.65,6.56,y,f,d
e,8.88,x,h,y,x,y,8.93,18.13,w,f,d
p,3.59,b,w,u,a,g,5.56,6.28,u,f,d
e,8.04,s,t,p,d,o,6.0,17.52,w,f,d
p,7.02,f,?,n,d,y,6.55,10.32,n,f,l
e,3.36,f,h,n,?,k,5.65,6.52,w,f,d
p,2.77,x,y,r,s,g,5.28,6.14,n,e,m
p,4.26,x,?,y,s,y,5.16,10.41,y,f,d
e,7.69,s,?,g,s,g,5.73,19.32,u,f,g
e,5.03,o,l,n,f,f,8.66,53.64,n,f,l
e,15.56,x,y,n,e,w,9.74,17.61,w,?,d
p,7.25,b,t,w,e,w,12.75,13.62,w,l,d
p,21.37,s,k,w,d,n,8.53,31.3,w,f,d
e,6.17,o,l,n,f,f,7.99,67.06,n,f,l
p,9.75,x,t,r,d,n,6.21,14.34,n,f,h
p,3.32,o,l,g,f,f,0.0,0.0,f,f,d
e,3.45,s,?,n,f,f,6.98,8.4,o,f,d
e,5.93,x,y,n,e,p,4.25,12.15,w,l,w
p,4.68,s,d,o,d,y,3.23,6.58,y,f,d
e,3.78,x,d,n,p,n,4.72,10.13,y,f,d
e,46.89,o,y,y,p,y,7.17,38.72,k,f,d
p,6.77,b,t,w,e,w,12.52,11.63,w,e,d
e,9.5,x,s,k,a,w,5.4,18.18,w,f,d
p,0.84,x,?,o,d,o,5.62,1.16,o,f,g
e,8.21,f,s,n,s,w,6.9,11.73,n,f,g
e,7.15,f,s,k,a,w,4.93,15.91,w,f,d
p,2.93,x,k,w,s,p,3.93,3.24,n,f,g
e,10.0,x,y,n,?,w,8.84,26.96,n,e,d
p,2.97,f,w,n,d,y,3.65,5.77,n,f,d
e,7.91,x,t,y,p,y,6.93,14.25,y,?,d
e,3.92,f,s,w,d,w,4.68,6.85,w,f,m
e,11.01,x,e,y,x,w,8.78,24.69,w,f,d
p,0.96,b,t,n,?,g,2.5,2.23,n,f,g
p,4.75,x,h,o,a,n,5.09,6.6,n,z,d
p,1.55,b,h,n,a,n,4.19,1.45,n,f,d
e,9.52,x,s,n,e,w,6.11,9.87,w,f,d
p,10.17,x,s,w,s,p,7.49,17.54,n,f,d
e,5.65,s,?,n,d,w,5.55,8.13,w,f,h
e,15.98,x,w,n,p,y,17.13,74.5,n,f,d
e,10.43,x,d,w,s,w,7.81,29.23,w,f,m
e,10.26,s,t,o,d,o,6.36,17.7,w,f,d
p,4.6,x,t,r,s,g,6.99,8.08,w,e,g
e,6.44,b,h,g,s,g,4.55,8.93,g,f,d
p,2.09,p,t,n,a,g,6.13,2.58,y,e,m
p,3.0,f,t,y,a,y,5.14,6.14,y,f,d
p,5.52,x,e,e,a,n,8.15,10.69,n,z,d
e,7.64,f,y,n,e,n,4.5,13.24,w,r,w
p,8.59,b,t,w,e,w,12.61,12.96,w,l,d
e,15.64,p,y,n,?,w,24.52,19.45,n,m,d
e,4.8,f,t,o,a,y,7.85,7.08,o,f,d
p,6.26,f,?,g,d,y,4.8,9.75,n,f,l
p,8.25,o,k,n,?,y,1.47,13.8,n,f,d
p,1.55,b,?,n,a,g,5.28,2.08,g,f,d
e,4.24,x,k,n,p,e,4.09,10.29,n,f,d
p,8.53,o,k,y,?,y,1.53,15.06,y,f,d
p,6.01,f,d,n,d,y,6.03,8.21,n,f,d
p,1.78,x,k,n,?,n,3.79,1.5,n,f,d
e,4.88,x,y,g,s,g,5.36,8.26,w,f,d
p,8.23,x,i,y,a,n,8.83,9.4,n,z,d
p,3.15,s,d,w,d,w,3.94,2.55,w,f,g
e,2.63,x,?,b,?,w,7.04,5.2,w,f,d
e,10.69,f,s,r,x,n,6.37,24.44,p,f,d
p,7.99,s,t,n,d,w,4.42,12.05,n,f,d
p,4.9,f,?,y,s,y,4.3,8.78,y,f,d
e,3.15,b,y,n,?,k,5.48,2.47,w,f,d
p,2.61,b,?,k,a,n,8.36,2.43,g,f,g
e,10.73,s,t,o,d,o,6.59,17.54,w,f,d
p,2.06,f,i,k,a,p,4.16,2.89,w,f,g
p,3.96,b,y,n,?,u,6.38,4.65,w,f,d
p,5.87,x,e,e,a,g,8.87,10.57,y,z,d
e,5.68,s,?,y,a,w,5.84,14.95,g,f,d
p,3.09,s,d,w,d,p,3.45,2.78,w,f,g
e,4.64,f,g,n,a,g,6.0,3.52,g,f,d
p,9.64,x,e,n,a,n,12.47,16.64,n,f,h
e,7.74,f,s,w,e,k,20.74,12.64,w,e,g
e,7.8,f,s,n,s,w,6.58,10.8,w,f,d
e,3.46,s,d,n,d,p,4.11,5.7,g,f,d
e,7.76,x,y,w,e,k,5.11,12.52,w,e,g
p,2.59,b,g,n,?,n,6.91,3.33,n,f,m
e,1.69,c,g,n,a,g,5.03,1.49,g,f,l
e,5.69,x,s,n,x,w,6.53,9.24,n,f,l
e,1.34,c,g,n,a,w,4.94,1.24,g,f,d
e,9.51,x,s,n,e,w,7.07,9.53,n,f,d
e,8.15,s,?,n,s,g,6.17,19.82,u,f,g
p,4.52,b,t,l,s,u,6.53,8.13,n,e,g
e,4.88,c,h,n,e,w,10.53,11.35,w,f,d
e,7.32,x,d,n,p,y,7.42,16.55,y,f,d
p,2.87,f,y,o,d,o,3.17,5.38,o,f,h
e,12.98,x,s,n,e,n,6.28,16.33,w,l,m
e,4.69,x,?,w,x,n,7.91,9.23,n,?,d
p,6.14,c,e,y,x,p,7.11,12.62,w,f,d
p,0.63,x,g,y,?,y,3.56,0.75,w,f,d
e,9.17,x,?,n,?,w,10.48,15.62,w,g,d
p,10.76,x,?,n,e,w,10.84,14.69,w,e,d
p,4.04,b,w,u,a,u,6.13,6.42,u,f,d
p,2.68,s,d,w,d,w,2.73,2.46,w,f,g
p,0.86,x,?,o,d,o,4.51,1.06,o,f,g
p,5.17,x,h,y,a,y,6.53,7.49,o,f,g
e,9.5,f,e,b,?,b,5.03,19.94,w,f,d
p,0.82,b,t,n,?,g,3.53,2.37,n,f,g
e,3.1,f,s,w,d,w,3.87,6.63,w,f,g
p,6.08,x,e,e,a,y,7.72,9.62,e,z,d
p,7.5,b,t,w,e,w,12.0,13.5,w,e,d
e,7.02,f,y,w,e,p,5.94,13.32,w,e,m
p,4.34,x,?,p,?,g,3.63,12.22,y,f,d
p,7.8,b,y,n,?,p,14.93,17.49,w,f,d
e,11.61,s,?,w,d,y,6.67,24.5,w,f,d
p,4.98,x,t,y,a,y,6.16,7.43,o,f,g
p,2.91,s,w,o,d,y,3.5,6.35,n,f,d
p,8.56,x,?,n,p,p,10.94,33.08,n,f,d
e,1.23,x,t,n,d,w,4.61,1.58,y,f,h
e,55.94,o,y,y,p,y,7.03,38.82,n,f,d
p,4.59,x,h,o,a,n,5.42,6.35,n,z,d
e,0.99,x,g,n,a,w,4.85,0.97,n,f,h
p,3.14,o,l,g,f,f,0.0,0.0,f,f,d
e,7.31,f,s,n,s,w,5.79,9.92,w,f,d
e,1.77,s,y,n,a,p,4.29,2.86,n,f,h
e,3.51,f,s,w,d,w,4.04,6.03,w,f,m
p,1.37,b,h,n,a,n,4.82,1.48,n,f,d
e,4.95,x,?,y,a,y,5.12,8.78,w,f,d
e,10.77,p,y,n,e,p,9.21,17.94,w,p,d
p,16.48,x,k,w,d,w,7.31,34.37,w,f,d
p,2.39,f,i,l,a,w,5.03,2.69,w,f,g
p,4.95,b,s,k,e,y,7.05,7.77,k,f,m
e,4.95,b,g,g,a,g,6.23,3.83,n,f,d
p,12.83,x,?,n,e,w,11.25,14.62,w,g,d
p,6.99,x,d,n,d,n,6.8,8.31,e,f,d
p,4.98,s,d,y,d,o,3.51,6.06,o,f,h
p,4.46,f,k,n,s,p,4.1,3.19,n,f,g
p,6.76,s,d,e,d,y,5.94,8.84,e,f,d
p,2.82,x,i,e,?,e,3.94,4.7,e,f,d
e,6.41,x,d,n,p,y,3.8,11.73,y,f,d
p,7.45,x,y,w,?,w,8.31,13.87,w,l,d
p,2.55,b,?,g,a,g,5.38,2.19,g,f,d
p,1.8,f,y,o,d,y,2.67,4.35,y,f,h
e,7.75,s,s,o,d,b,7.27,13.09,w,f,d
p,3.47,x,s,y,?,y,7.01,6.51,y,z,d
p,4.39,x,?,e,?,g,3.23,12.09,y,f,d
e,5.12,b,h,k,s,g,4.58,8.6,g,f,d
p,2.02,x,i,k,a,p,4.32,2.4,w,f,g
e,6.77,x,t,g,a,n,6.86,6.22,w,l,d
p,2.48,s,w,n,d,y,3.03,5.07,n,f,d
p,6.51,f,h,e,x,w,5.7,17.73,w,f,d
p,5.82,c,i,y,?,n,6.9,9.24,w,f,d
p,4.5,o,s,o,f,f,0.0,0.0,f,f,d
p,2.67,f,y,w,e,n,4.24,3.38,w,e,d
p,3.5,f,?,n,x,p,8.22,4.01,p,f,l
p,3.63,x,h,n,a,n,4.26,5.54,o,z,d
e,3.18,b,y,n,?,k,6.35,2.81,w,f,d
e,7.49,x,?,n,a,w,7.49,14.58,g,f,d
e,6.36,x,t,y,x,y,6.85,12.25,w,f,d
p,3.62,x,i,e,?,e,4.62,4.89,e,f,d
e,8.34,f,s,u,a,w,4.92,15.96,w,f,d
p,9.01,b,t,w,e,w,13.37,13.73,w,l,d
p,4.41,f,?,w,x,p,8.74,4.23,p,f,d
p,5.47,x,?,p,?,g,3.35,12.68,y,f,d
p,9.6,x,s,n,p,y,7.78,25.42,y,f,d
p,5.69,b,d,n,d,n,5.59,6.49,n,?,d
p,4.84,c,e,w,x,p,5.94,12.29,w,f,g
e,14.79,p,t,n,p,w,20.88,83.88,n,f,d
e,4.5,x,?,n,x,w,6.2,3.89,w,f,d
p,7.07,x,i,n,a,n,7.91,7.74,n,z,g
p,2.87,f,?,w,a,w,3.92,3.48,u,f,d
e,15.0,f,?,g,d,y,2.46,16.08,w,f,d
p,1.52,x,k,n,?,n,4.11,1.39,n,f,d
p,3.54,f,t,n,x,p,5.64,3.87,g,f,m
p,16.16,f,g,o,e,w,16.73,16.79,w,p,d
